"ID Number","Start Day","Start Month","Start Year","End Day","End Month","End Year","Outcome","Settlement","Fatality Level","MaxDur","MinDur","HiAct","HostLev","Recip","SideA","SideB","Version"
1309,8,6,1961,19,7,1961,5,3,0,42,42,2,2,0,1,1,2.1
1310,18,9,1962,4,11,1962,5,3,1,48,48,18,4,-1,1,1,2.1
1312,5,3,1965,23,9,1965,5,1,6,203,203,22,5,-1,1,1,2.1
1315,23,9,1965,25,1,1966,5,1,3,125,125,18,4,-1,1,1,2.1
1316,-9,8,1964,5,8,1965,5,3,3,370,336,18,4,-1,1,1,2.1
1317,-9,7,1963,-9,8,1963,6,1,0,62,2,16,4,0,1,1,2.1
1319,15,2,1965,17,3,1965,5,3,-9,31,31,18,4,-1,1,1,2.1
1321,5,7,1960,2,9,1960,3,1,-9,60,60,19,4,-1,1,1,2.1
1322,8,8,1966,17,9,1966,6,1,0,41,41,19,4,-1,1,1,2.1
1323,1,1,1969,3,2,1969,6,1,0,34,34,15,4,0,1,1,2.1
1324,17,10,1966,17,10,1966,5,3,0,1,1,2,2,0,3,1,2.1
1325,10,7,1969,16,6,1970,6,1,0,342,342,19,4,-1,1,1,2.1
1326,9,6,1969,-9,7,1969,7,4,0,53,23,17,4,0,1,1,2.1
1328,-9,1,1965,-9,1,1965,5,3,0,31,1,7,3,0,1,1,2.1
1329,15,8,1963,15,8,1963,5,3,0,1,1,2,2,0,1,1,2.1
1331,27,10,1975,27,10,1975,5,3,0,1,1,7,3,-1,1,3,2.1
1332,1,11,1967,1,11,1967,5,3,-9,1,1,18,4,-1,1,1,2.1
1333,6,8,1976,-9,2,1978,5,3,1,572,545,18,4,-1,1,1,2.1
1334,11,10,1975,19,10,1975,5,3,0,9,9,19,4,0,1,1,2.1
1335,-9,3,1969,-9,9,1969,5,3,0,214,155,15,4,0,1,1,2.1
1337,9,9,1976,9,3,1977,5,3,0,182,182,16,4,0,1,1,2.1
1339,16,11,1976,16,11,1976,5,3,0,1,1,19,4,0,1,1,2.1
1340,-9,6,1972,18,9,1972,6,1,0,110,64,19,4,-1,1,1,2.1
1342,4,5,1973,4,5,1973,5,3,0,1,1,18,4,-1,1,1,2.1
1343,9,10,1967,10,10,1967,5,3,1,2,2,18,4,-1,1,1,2.1
1344,3,2,1953,27,2,1954,5,3,0,390,390,19,4,-1,1,1,2.1
1345,30,7,1954,30,7,1954,5,3,0,1,1,16,4,0,1,1,2.1
1346,3,8,1955,3,12,1955,5,3,0,123,123,17,4,0,1,1,2.1
1347,1,1,1958,5,2,1959,5,3,0,401,401,17,4,0,1,1,2.1
1349,13,1,1961,13,1,1961,5,3,0,1,1,17,4,0,1,1,2.1
1350,5,12,1958,5,1,1960,5,3,-9,397,397,19,4,-1,1,1,2.1
1351,16,3,1966,25,4,1966,3,3,1,41,41,18,4,-1,1,2,2.1
1352,17,2,1967,25,9,1967,6,1,0,221,221,17,4,-1,1,1,2.1
1353,6,1,1962,15,2,1973,6,1,-9,4059,4059,19,4,-1,3,6,2.1
1360,28,3,1969,16,10,1969,5,3,0,203,203,19,4,-1,1,1,2.1
1361,22,1,1964,26,1,1964,5,3,0,5,5,19,4,0,1,1,2.1
1362,15,3,1973,29,6,1973,5,3,0,107,107,19,4,0,1,2,2.1
1363,16,12,1960,20,4,1961,5,1,-9,126,126,19,4,-1,3,3,2.1
1364,14,4,1972,14,4,1972,5,3,-9,1,1,18,4,-1,1,1,2.1
1366,15,5,1965,26,5,1965,7,1,0,12,12,17,4,0,1,1,2.1
1367,13,2,1973,13,2,1973,5,3,0,1,1,19,4,0,1,1,2.1
1368,18,2,1976,27,8,1976,5,3,-9,192,192,18,4,-1,1,1,2.1
1369,29,8,1959,29,8,1959,5,3,0,1,1,19,4,0,1,1,2.1
1374,-9,1,1950,23,5,1953,5,3,4,1239,1187,18,4,-1,1,1,2.1
